City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
296,baghdad,IQ,78.71,clear sky,33.3406,44.4009,Baghdad Hotel
298,aripuana,BR,74.55,broken clouds,-9.1667,-60.6333,
300,araouane,ML,84.49,scattered clouds,18.9048,-3.5265,
301,zwedru,LR,70.81,broken clouds,6.0667,-8.1281,Elijah Worjloh
303,lazaro cardenas,MX,81.93,overcast clouds,17.9583,-102.2,quinta antigua
305,cocobeach,GA,73.33,moderate rain,1.0002,9.5823,Hotel Esperance
309,valdez,EC,78.57,overcast clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
311,skeldon,GY,74.86,broken clouds,5.8833,-57.1333,Rits Hotel
313,douglas,US,78.1,overcast clouds,41.3,-96.167,Hilton Garden Inn Omaha West
316,panaba,MX,76.91,overcast clouds,21.2833,-88.2667,Posada rosario
317,victoria,HK,82.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
319,pochutla,MX,73.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
321,cabo san lucas,MX,84.81,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
325,sabha,LY,72.97,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
329,natal,BR,75.42,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
332,odweyne,SO,73.69,overcast clouds,9.4092,45.06399999999999,Eng Hiirey House
333,pandan,PH,84.6,heavy intensity rain,14.0453,124.1694,Bonifacio Lodge
335,lagunas,PE,71.89,few clouds,-5.2269,-75.6753,Hospedaje Eco
337,luba,GQ,78.62,moderate rain,3.4568,8.5547,
341,bonthe,SL,78.22,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
347,sibu,MY,84.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
349,samarai,PG,82.65,few clouds,-10.6167,150.6667,Nuli Sapi
352,mackay,AU,76.68,scattered clouds,-21.15,149.2,International Lodge Motel
360,kozhva,RU,72.73,overcast clouds,65.1073,57.0459,Gostinicha IP Kayuda Olga Aleksandrovna
362,cap malheureux,MU,75.69,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
364,linxia,CN,76.96,clear sky,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
369,mogadishu,SO,78.6,scattered clouds,2.0371,45.3438,Hotel Juba
370,micheweni,TZ,76.64,scattered clouds,-4.9667,39.8333,
376,hato mayor,DO,77.29,overcast clouds,18.7629,-69.256,Aparta Hotel Don Olivo
381,curup,ID,84.33,scattered clouds,-3.4667,102.5333,Ayi The Costel
383,wanning,CN,80.08,overcast clouds,18.8003,110.3967,Paradise Hotel
386,guangshui,CN,84.2,moderate rain,31.6199,113.9978,广水市雅瑞假日生态园
387,russell,US,74.97,broken clouds,32.3502,-85.1999,Macs
389,souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
393,tura,IN,74.88,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
394,leonidovo,RU,70.07,overcast clouds,49.2833,142.8667,
397,katsuura,JP,82.24,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
398,boyolangu,ID,84.69,scattered clouds,-8.1181,111.8935,Yos ega cv
401,kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
402,moerai,PF,73.72,overcast clouds,-22.4333,-151.3333,Le Manotel
406,klichka,RU,77.18,overcast clouds,50.4457,117.99600000000001,
409,canyon,US,81.01,scattered clouds,34.9803,-101.9188,"Holiday Inn Express & Suites Canyon, an IHG Hotel"
412,marawi,PH,76.42,overcast clouds,7.9986,124.2928,Derogongan Residence
419,gat,IL,75.4,clear sky,31.61,34.7642,OlusHome
420,pinar del rio,CU,76.32,overcast clouds,22.4175,-83.6981,Hostal La Colina Dunay y Raul
424,inirida,CO,73.08,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
425,brisbane,AU,72.86,few clouds,-27.4679,153.0281,Royal On The Park Brisbane
426,katobu,ID,76.98,overcast clouds,-4.9408,122.5276,La Ode Husein
427,changde,CN,82.74,overcast clouds,29.0464,111.6783,Kangshida Hotel
430,gold coast,AU,72.34,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
431,ewa beach,US,84.15,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
432,acajutla,SV,80.8,overcast clouds,13.5928,-89.8275,asi es
436,bud,US,76.95,clear sky,39.446999999999996,-86.1758,Ted McQuinn Trust
441,tadine,NC,74.17,overcast clouds,-21.55,167.8833,
442,pemangkat,ID,80.37,overcast clouds,1.1667,108.9667,Ramah Kost KITA
443,merauke,ID,82.4,scattered clouds,-8.4667,140.3333,
444,kavaratti,IN,84.06,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
446,xining,CN,72.77,clear sky,36.6167,101.7667,Super Leisure Hotel
448,cumanayagua,CU,74.95,overcast clouds,22.1494,-80.2022,Hotel Pasaje
450,tutoia,BR,76.48,few clouds,-2.7619,-42.2744,Pousada Guará's
454,warren,US,75.27,scattered clouds,39.4334,-84.1666,The Golden Lamb Restaurant & Hotel
459,caraballeda,VE,80.67,few clouds,10.6112,-66.8522,Hotel 15 Letras
464,komsomolskiy,UZ,81.82,broken clouds,40.4272,71.7189,Ikathouse
466,jasper,US,79.88,clear sky,37.2001,-94.3502,Guest House Motel
467,maraa,BR,72.48,overcast clouds,-1.8333,-65.3667,
468,corsicana,US,82.11,clear sky,32.0954,-96.4689,"Holiday Inn Express & Suites Corsicana I-45, an IHG Hotel"
472,namibe,AO,70.63,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
474,pauini,BR,72.72,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
478,saint-louis,SN,79.41,broken clouds,16.3333,-15.0,
481,progreso,MX,77.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
485,wau,SS,77.02,overcast clouds,7.7029,27.9953,Universal Gab Hotel
487,jilib,SO,73.29,broken clouds,0.4883,42.7854,
488,benguela,AO,73.53,clear sky,-12.5763,13.4055,Hotel Praia Morena
489,shingu,JP,77.99,broken clouds,33.7333,135.9833,Shingu UI Hotel
490,karratha,AU,72.77,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
492,bellavista,PE,70.03,overcast clouds,-7.0561,-76.5911,Hospedaje Bella Durmiente
494,remanso,BR,75.07,broken clouds,-9.6179,-42.0831,Hotel Mangueira
496,gwadar,PK,84.72,overcast clouds,25.1216,62.3254,Sadaf Resort
497,panzhihua,CN,80.69,overcast clouds,26.5851,101.7128,Electric Power Hotel
500,kirakira,SB,82.74,scattered clouds,-10.4544,161.9205,SanBiz Lodge
501,akim swedru,GH,72.77,overcast clouds,5.8938,-1.0164,Green Pearls Inn
506,yicheng,CN,84.04,scattered clouds,31.3705,119.8703,GreenTree Alliance Wuxi Yixing Jinyizhong Road Chengbei RT-Market Hotel
509,sulangan,PH,80.51,moderate rain,11.1373,123.7228,Maia's Beach Resort
511,mabaruma,GY,73.0,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
512,chau doc,VN,77.54,light rain,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
513,rosetta,EG,73.22,clear sky,31.4044,30.4164,Green Valley
514,praya,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
515,riyadh,SA,82.45,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
521,casa nova,BR,73.38,scattered clouds,-9.4167,-41.1333,Pousada e Restaurante Dona Xinha
522,tiznit,MA,70.12,clear sky,29.5833,-9.5,
523,erenhot,CN,83.73,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
526,buala,SB,84.22,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
527,vao,NC,72.81,light rain,-22.6667,167.4833,Hotel Kou-Bugny
528,catuday,PH,83.39,overcast clouds,16.2923,119.8062,GResort
531,noumea,NC,73.99,light rain,-22.2763,166.4572,Hôtel Le Lagon
534,sorong,ID,80.83,overcast clouds,-0.8833,131.25,waigo splash hotel
537,guymon,US,78.8,clear sky,36.6828,-101.4816,Super 8 Guymon
538,kendari,ID,76.77,light rain,-3.945,122.4989,Hotel Wixel
539,axim,GH,78.93,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
