City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Tessalit,ML,2021-06-11 20:40:22,20.1986,1.0114,97.99,9,11,11.21
163,Simpang,ID,2021-06-11 20:40:22,-1.2667,104.0833,76.01,88,100,3.18
164,Visnes,NO,2021-06-11 20:40:23,59.3556,5.2242,57.58,94,20,20.71
165,Artyom,AZ,2021-06-11 20:40:23,40.4723,50.333,71.74,80,0,21.99
166,Ponta Do Sol,PT,2021-06-11 20:40:24,32.6667,-17.1,75.83,67,0,5.23
167,Qarqin,AF,2021-06-11 20:40:24,37.4185,66.0436,86.83,18,0,14.29
168,Hirara,JP,2021-06-11 20:40:24,24.8,125.2833,81.77,83,100,11.95
169,Narsaq,GL,2021-06-11 20:40:25,60.9167,-46.05,50.22,80,99,3.67
170,Brae,GB,2021-06-11 20:40:25,60.3964,-1.353,49.91,83,78,22.53
171,Stephenville,US,2021-06-11 20:40:26,32.2207,-98.2023,93.29,56,1,13.8
172,Kayes,ML,2021-06-11 20:40:26,14.0,-11.0,92.23,38,81,2.55
173,Huarmey,PE,2021-06-11 20:40:27,-10.0681,-78.1522,69.69,73,12,10.56
174,Jutai,BR,2021-06-11 20:40:27,-5.1833,-68.9,81.05,75,100,1.19
175,Amguri,IN,2021-06-11 20:40:28,26.8,94.5333,76.1,96,100,3.71
176,Sorland,NO,2021-06-11 20:40:28,67.667,12.6934,51.87,97,100,15.68
177,Cap-Aux-Meules,CA,2021-06-11 20:40:29,47.3821,-61.8597,55.45,62,40,9.22
178,Yatou,CN,2021-06-11 20:40:29,37.15,122.3833,64.09,93,87,3.11
179,Hamilton,US,2021-06-11 20:37:07,39.1834,-84.5333,87.19,83,75,3.0
180,Cloquet,US,2021-06-11 20:40:30,46.7216,-92.4594,63.79,93,90,8.05
181,Faya,SA,2021-06-11 20:40:30,18.3851,42.4509,73.92,29,97,2.17
182,Yelizovo,RU,2021-06-11 20:40:31,53.1873,158.3805,57.34,72,75,8.95
183,Sisimiut,GL,2021-06-11 20:40:31,66.9395,-53.6735,39.85,71,60,6.51
184,Kahului,US,2021-06-11 20:36:53,20.8947,-156.47,85.96,62,20,20.71
185,Poya,NC,2021-06-11 20:40:32,-21.35,165.15,71.69,81,100,7.56
186,San Policarpo,PH,2021-06-11 20:40:32,12.1791,125.5072,76.41,89,100,4.81
187,Mount Isa,AU,2021-06-11 20:40:33,-20.7333,139.5,35.37,64,3,0.0
188,Banjar,ID,2021-06-11 20:40:33,-8.19,114.9675,76.86,88,68,2.89
189,Coahuayana,MX,2021-06-11 20:40:33,18.7333,-103.6833,87.49,58,100,6.96
190,Nome,US,2021-06-11 20:40:18,64.5011,-165.4064,46.17,93,90,10.36
191,Nikolskoye,RU,2021-06-11 20:40:34,59.7035,30.7861,64.29,92,100,2.86
192,Myitkyina,MM,2021-06-11 20:40:34,25.3833,97.4,75.6,99,100,1.99
193,Lavrentiya,RU,2021-06-11 20:40:35,65.5833,-171.0,36.63,97,100,5.82
194,Mgandu,TZ,2021-06-11 20:40:35,-5.95,34.1333,58.19,65,5,5.66
195,Laguna,US,2021-06-11 20:40:36,38.421,-121.4238,84.65,23,1,5.01
196,Sabha,LY,2021-06-11 20:40:36,27.0377,14.4283,81.48,24,0,11.88
197,Fairbanks,US,2021-06-11 20:39:11,64.8378,-147.7164,67.1,58,90,8.05
198,Vila Velha,BR,2021-06-11 20:40:18,-20.3297,-40.2925,76.95,83,75,6.91
199,Upata,VE,2021-06-11 20:40:37,8.0086,-62.3989,84.2,69,94,3.87
200,Ishinomaki,JP,2021-06-11 20:40:37,38.4167,141.3,65.05,89,100,9.33
201,Nampula,MZ,2021-06-11 20:40:38,-15.1165,39.2666,66.15,82,40,8.05
202,Ancud,CL,2021-06-11 20:38:00,-41.8697,-73.8203,56.43,94,100,19.26
203,Beringovskiy,RU,2021-06-11 20:40:38,63.05,179.3167,36.95,96,100,4.59
204,Airai,TL,2021-06-11 20:40:39,-8.9266,125.4092,56.39,93,40,3.22
205,Paamiut,GL,2021-06-11 20:40:39,61.994,-49.6678,37.65,85,100,0.76
206,Mirador,BR,2021-06-11 20:40:39,-6.3708,-44.3631,81.34,48,59,1.63
207,Cayenne,GF,2021-06-11 20:40:40,4.9333,-52.3333,75.24,90,0,2.3
208,Port Elizabeth,ZA,2021-06-11 20:40:40,-33.918,25.5701,53.89,82,20,5.75
209,Aktau,KZ,2021-06-11 20:40:41,43.65,51.2,73.98,56,10,14.54
210,Varangaon,IN,2021-06-11 20:40:41,21.0167,75.9,82.81,66,8,16.6
211,Nanortalik,GL,2021-06-11 20:40:42,60.1432,-45.2371,36.79,93,99,1.1
212,Itarema,BR,2021-06-11 20:40:42,-2.9248,-39.9167,79.5,78,12,11.7
213,Ahipara,NZ,2021-06-11 20:40:42,-35.1667,173.1667,58.08,89,100,6.76
214,Labuhan,ID,2021-06-11 20:40:43,-6.8844,112.2051,76.64,88,10,7.45
215,Vostok,RU,2021-06-11 20:40:43,46.4856,135.8833,56.14,99,100,2.46
216,Kapaa,US,2021-06-11 20:40:43,22.0752,-159.319,84.18,68,1,4.0
217,Cherskiy,RU,2021-06-11 20:40:44,68.75,161.3,41.56,60,34,9.15
218,Lazaro Cardenas,MX,2021-06-11 20:40:44,17.9583,-102.2,85.62,63,94,9.1
219,Chateaudun,FR,2021-06-11 20:40:45,48.0833,1.3333,71.8,73,0,3.44
220,Hendek,TR,2021-06-11 20:40:33,40.7994,30.7481,55.72,91,2,3.49
221,Yulara,AU,2021-06-11 20:40:46,-25.2406,130.9889,46.24,39,90,5.75
222,Dikson,RU,2021-06-11 20:40:46,73.5069,80.5464,31.8,99,100,4.79
223,San Cristobal,VE,2021-06-11 20:37:59,7.7669,-72.225,84.38,63,43,5.68
224,Chiradzulu,MW,2021-06-11 20:40:47,-15.6746,35.1407,53.51,69,0,3.47
225,Gambissara,SN,2021-06-11 20:40:47,13.2382,-14.3108,88.59,56,96,4.23
226,Barrow,US,2021-06-11 20:40:48,71.2906,-156.7887,35.62,87,90,9.22
227,Guisa,CU,2021-06-11 20:40:48,20.255,-76.5386,84.51,80,90,2.53
228,Erenhot,CN,2021-06-11 20:40:49,43.6475,111.9767,70.52,43,3,10.25
229,Asmara,ER,2021-06-11 20:40:49,15.3333,38.9333,68.81,17,58,5.19
230,Malia,GR,2021-06-11 20:40:49,35.2833,25.4667,69.66,79,1,2.71
231,Tongchuan,CN,2021-06-11 20:40:50,35.0806,109.0897,72.37,63,100,4.32
232,Kyren,RU,2021-06-11 20:40:50,51.6828,102.1408,46.45,94,89,1.79
233,Ormara,PK,2021-06-11 20:40:51,25.2088,64.6357,83.79,82,82,16.53
