City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,arraial do cabo,BR,-22.9661,-42.0278,71.69,73,100,23.0,overcast clouds
202,barrow,US,71.2906,-156.7887,33.82,80,90,12.66,overcast clouds
203,inuvik,CA,68.3499,-133.7218,65.26,55,75,11.5,broken clouds
204,pangnirtung,CA,66.1451,-65.7125,31.01,93,60,1.05,broken clouds
205,tiksi,RU,71.6872,128.8694,46.6,58,100,16.67,overcast clouds
206,shyroke,UA,47.6917,33.2571,60.04,84,9,7.14,clear sky
207,tianguismanalco,MX,18.95,-98.4333,60.12,82,100,3.44,overcast clouds
208,san ramon,US,37.7799,-121.978,68.49,64,1,1.99,clear sky
209,avera,US,33.194,-82.5271,75.07,84,16,9.19,few clouds
210,bodden town,KY,19.2833,-81.25,81.93,65,20,0.0,few clouds
211,sretensk,RU,52.2453,117.7093,76.98,38,100,8.5,overcast clouds
212,shache,CN,38.4167,77.2406,85.37,15,79,11.9,broken clouds
213,slobodskoy,RU,58.7322,50.1772,62.22,65,77,9.53,broken clouds
214,puerto ayora,EC,-0.7393,-90.3518,72.55,91,26,5.99,scattered clouds
215,las palmas,ES,28.4204,-14.0131,65.19,83,0,13.8,clear sky
216,lixourion,GR,38.2019,20.4314,69.06,77,18,1.95,few clouds
217,karpogory,RU,64.0019,44.4451,69.96,38,82,4.29,broken clouds
218,husum,DE,54.4858,9.0524,62.15,87,100,12.12,overcast clouds
219,mahajanga,MG,-15.7167,46.3167,68.02,88,40,2.3,scattered clouds
220,sao jose da coroa grande,BR,-8.8978,-35.1478,73.98,82,9,7.02,clear sky
221,buka,UZ,40.8108,69.1986,81.52,26,0,11.79,clear sky
222,herzberg,DE,51.6869,13.2202,64.63,82,75,3.44,broken clouds
223,flinders,AU,-34.5833,150.8552,66.06,49,51,11.01,broken clouds
224,broome,US,42.2506,-75.833,65.37,80,90,1.99,overcast clouds
225,liuzhou,CN,24.3126,109.3892,88.25,67,76,5.95,broken clouds
226,lolodorf,CM,3.2333,10.7333,69.62,99,100,0.47,overcast clouds
227,pevek,RU,69.7008,170.3133,34.03,87,62,5.88,broken clouds
228,naze,JP,28.3667,129.4833,81.52,77,99,9.57,overcast clouds
